Area	Gender	ID (filenames - use ; for multiple items)	Item	Design	Category	Color (use ; for multiple colors)	Perfect Match	Terrible Match	color match	design match	Icon	Display Name		Image Link	
Face	Male	Male_Facial_Hair_04	Soul Patch	Smart	Casual; Business Casual	Black			All	Smart;Modern	Male_Facial_Hair_04_Icon	Soul Patch		http://resources0.news.com.au/images/2010/07/05/1225888/173856-top-10-facial-hair-styles.jpg	
Face	Male	Male_Facial_Hair_07	Handlebar Mustache	Trendy	Casual; Business Casual;Business Professional; Informal	Black; Brown			All	Trendy;Modern	Male_Facial_Hair_07_Icon	Handlebar Mustache			
Face	Male	Male_Facial_Hair_08	Balbo	Modern	Business Casual	Black; Brown				Modern	Male_Facial_Hair_08_Icon	Balbo		http://images.askmen.com/grooming/appearance/6e_facial-hair-styles-101.jpg	
Face	Male	Male_Facial_Hair_09	Goatee	Classic	Business Professional	Black; Brown				Classic	Male_Facial_Hair_09_Icon	Goatee		http://images.askmen.com/grooming/appearance/6d_facial-hair-styles-101.jpg	
Face	Male	Male_Facial_Hair_10	Mutton Chops	Rock	Casual;Business Casual	Black; Brown				Modern	Male_Facial_Hair_10_Icon	Mutton Chops		http://images.askmen.com/grooming/appearance/6h_facial-hair-styles-101.jpg	
Face	Male	Male_Facial_Hair_11	Box Beard	Modern;Trendy	Casual;Business Casual	Black; Brown				Trendy;Modern	Male_Facial_Hair_11_Icon	Box Beard			
Face	Male	Male_Facial_Hair_05	Full Black Beard	Classic	Business Professional	Black			All	Modern;Classic	Male_Facial_Hair_05_Icon	Full Black Beard		http://coolspotters.com/files/photos/488838/george-clooney-and-full-beard-gallery.jpg	
Face	Male	Male_Facial_Hair_06	Full Brown Beard	Classic	Business Professional	Brown			All	Modern;Classic	Male_Facial_Hair_06_Icon	Full Brown Beard		http://coolspotters.com/files/photos/488838/george-clooney-and-full-beard-gallery.jpg	
Face	Male	Male_Facial_Hair_02	Long Brown Beard	Comfort	Informal	Brown			Brown	Messy	Male_Facial_Hair_02_Icon	Long Brown Beard			
Face	Male	Male_Facial_Hair_03	Long Gray Beard	Comfort	Informal	Grey			Grey	Messy	Male_Facial_Hair_03_Icon	Long Gray Beard			
Hair	Male	Male_Hair_05	Bed Head	Comfort;Messy	Informal	Brown				Comfort;Messy	Male_Hair_05_Icon	Bed Head		http://static.fashionbeans.com/wp-content/uploads/2015/01/interviewhair.jpg	
Hair	Male	Male_Hair_08	Short Black Hair	Modern;Classic	Casual; Business Casual;Business Professional	Black				Smart;Modern;Classic	Male_Hair_08_Icon	Short Black Hair		http://static.fashionbeans.com/wp-content/uploads/2015/01/interviewhair.jpg	
Hair	Male	Male_Hair_03	Black Undercut	Smart	Casual;Business Casual;Business Professional	Black				Modern;Smart;Classic	Male_Hair_03_Icon	Black Undercut		http://static.fashionbeans.com/wp-content/uploads/2015/01/interviewhair.jpg	
Hair	Male	Male_Hair_04	Brown Undercut	Smart	Casual;Business Casual;Business Professional	Brown				Modern;Smart;Classic	Male_Hair_04_Icon	Brown Undercut		http://static.fashionbeans.com/wp-content/uploads/2015/01/interviewhair.jpg	
Hair	Male	Male_Hair_06	Side-Swept Bang	Trendy	Casual; Business Casual	Brown					Male_Hair_06_Icon	Side-Swept Bang		http://static.fashionbeans.com/wp-content/uploads/2015/01/interviewhair.jpg	
Hair	Male	Male_Hair_07	Long Hair		Casual; Business Casual	Brown					Male_Hair_07_Icon	Long Hair		http://static.fashionbeans.com/wp-content/uploads/2015/01/interviewhair.jpg	
Hair	Either	Male_Hat_01	Blue and White Ball Cap		Informal	White; Blue			All		Male_Hat_01	Blue and White Ball Cap			
Hair	Male	Male_Hat_02	Fedora		Informal	Black			All		Male_Hat_02_Icon	Fedora			
Hair	Male	Male_Hat_03	Cowboy Hat		Informal	Brown			All		Male_Hat_03_Icon	Cowboy Hat			
Hair	Either	Male_Hat_05	Beanie		Informal	Dark Blue			All		Male_Hat_05_Icon	Beanie			
Earrings	Either	Male_Earrings_01_L; Male_Earrings_01_R	Circle Earring - M	Trendy	Informal;Casual	Silver				Trendy	Male_Ear_Ring_Icon	Circle Earring			
Necklace	Male	Male_Necklace_01	Silver Chain Necklace	Suit	Casual; Business Casual;Business Professional	Silver				Suit	Male_Necklace_01_Icon	Silver Chain Necklace			
Bottom	Male	Male_Pants_07_Pelvis; Male_Pants_07_Top; Male_Pants_07_Bot	Blue Jeans	Comfy;Jeans	Casual	Blue			All	Smart	Male_Pants_07_Icon	Blue Jeans			
Bottom	Male	Male_Pants_08_Pelvis; Male_Pants_08_Top; Male_Pants_08_Bot	Ripped Blue Jeans	Rock;Jeans	Informal	Blue			All	T-Shirt	Male_Pants_08_Icon	Ripped Blue Jeans			
Bottom	Male	Male_Pants_15_Pelvis; Male_Pants_15_Top; Male_Pants_15_Bot	Baggy Jeans	Comfort	Informal	Blue				Comfort	Male_Pants_15_Icon	Baggy Jeans		http://ecx.images-amazon.com/images/I/61qoRydWwtL._UL1500_.jpg	
Bottom	Male	Male_Pants_13_Pelvis; Male_Pants_13_Top; Male_Pants_13_Bot	Gray Sweat Pants	Comfort	Informal	Gray			All;-black	Sports	Male_Pants_13_Icon	Gray Sweat Pants			
Bottom	Male	Male_Pants_14_Pelvis; Male_Pants_14_Top; Male_Pants_14_Bot	Camo Pants	Comfort	Informal	Green				Comfort	Male_Pants_14_Icon	Camo Pants			
Bottom	Male	Male_Pants_01_Pelvis; Male_Pants_01_Top; Male_Pants_01_Bot	Khaki Slacks	Modern	Business Casual	Khaki			All	Modern;Smart	Male_Pants_01_Icon	Khaki Slacks		http://lib.store.yahoo.net/lib/denimexpress/40849-408490003-m.jpg	
Bottom	Male	Male_Pants_04_Pelvis; Male_Pants_04_Top; Male_Pants_04_Bot	Corduroy Khakis	Comfy	Casual;Business Casual	Khaki			All	Comfy	Male_Pants_04_Icon	Corduroy Khakis		https://s-media-cache-ak0.pinimg.com/736x/54/61/3b/54613bbd93c5220f9a82a29b5f80b35f.jpg	
Bottom	Male	Male_Pants_02_Pelvis; Male_Pants_02_Top; Male_Pants_02_Bot	Blue Suit Pants - M	Classic	Business Professional	Blue	Blue Suit Jacket and Tie	T-Shirt	White;Brown;Black;Red;Green	Classic	Male_Pants_02_Icon	Blue Suit Pants		http://www.polyvore.com/cgi/img-thing?.out=jpg&size=l&tid=31720809	
Bottom	Male	Male_Pants_03_Pelvis; Male_Pants_03_Top; Male_Pants_03_Bot	Navy Blue Slacks	Classic	Business Professional	Navy			White;Brown;Black;Red;Green	Modern;Smart	Male_Pants_03_Icon	Navy Blue Slacks			
Bottom	Male	Male_Pants_05_Pelvis; Male_Pants_05_Top; Male_Pants_05_Bot	Gray Suit Pants - M	Classic	Business Professional	Gray	Gray Suit Jacket and Tie	T-Shirt	All	Classic	Male_Pants_05_Icon	Gray Suit Pants		http://www.polyvore.com/cgi/img-thing?.out=jpg&size=l&tid=31720809	
Bottom	Male	Male_Pants_06_Pelvis; Male_Pants_06_Top; Male_Pants_06_Bot	Black Suit Pants - M	Classic	Business Professional	Black	Black Suit Jacket and Tie	T-Shirt	All; -Black	Classic	Male_Pants_06_Icon	Black Suit Pants		http://www.polyvore.com/cgi/img-thing?.out=jpg&size=l&tid=31720809	
Bottom	Male	Male_Pants_09_Pelvis; Male_Pants_09_Top	Red Basketball Shorts	Sports; Shorts	Informal	Red			All;-Red	Sports	Male_Pants_09_Icon	Red Basketball Shorts			
Bottom	Male	Male_Pants_12_Pelvis; Male_Pants_12_Top	Jean Shorts	Shorts; Jeans	Informal	Blue			All	T-shirt	Male_Pants_12_Icon	Jean Shorts			
Bottom	Male	Male_Pants_10_Pelvis; Male_Pants_10_Top	Black Shorts	Shorts	Casual	Black			All;-Black	Prep	Male_Pants_10_Icon	Black Shorts			
Bottom	Male	Male_Pants_11_Pelvis; Male_Pants_11_Top	Pleated Shorts	Shorts	Casual					Prep	Male_Pants_11_Icon	Pleated Shorts			
Top	Male	Male_Shirt_05_Torso; Male_Shirt_05_Arm_Top	Black Graphic T-Shirt	T-shirt	Informal	Black				Rock;Comfy	Male_Shirt_05_Icon	Black Graphic T-Shirt			
Top	Male	Male_Shirt_11_Torso; Male_Shirt_11_Arm_Top	V-Neck T-shirt	Trendy	Informal	Purple			Pink;Blue;Green;Orange;Red;Black;White	Comfort;Trendy	Male_Shirt_11_Icon	V-Neck T-shirt			
Top	Male	Male_Shirt_16_Torso; Male_Shirt_16_Arm_Top	Printed Pattern Shirt	Trendy	Informal	Black				Trendy;Modern	Male_Shirt_16_Icon	Printed Pattern Shirt		http://the-clothing-shed.com/wp-content/uploads/imported/Variation-of-Fresh-Floral-All-Over-Print-T-shirt-Top-Men-Flower-Rose-Vintage-Man-Swag-Dope-371133459118-7067.jpg	
Top	Male	Male_Shirt_17_Torso; Male_Shirt_17_Arm_Top	Tuxedo Costume T-Shirt	Trendy	Informal	White				Trendy	Male_Shirt_17_Icon	Tuxedo Costume T-Shirt		http://i.ebayimg.com/00/s/MTE2NFgxMjk2/z/K9oAAOxy4dNSxxBf/$_35.JPG	
Top	Male	Male_Shirt_04_Torso; Male_Shirt_04_Arm_Top	Striped Polo Shirt	Prep;Smart	Casual	Green; Blue				Prep	Male_Shirt_04_Icon	Striped Polo Shirt		http://www.polorltrend.com/images/ralphlaurenpolo/423.jpg	
Top	Male	Male_Shirt_03_Torso; Male_Shirt_03_Arm_Top	Red Solid Polo Shirt	Prep;Smart	Business Casual	Red	Pleated Khakis		Brown;Khaki;Blue;Navy;White	Prep	Male_Shirt_03_Icon	Red Solid Polo Shirt		http://www.garffshirts.com/images/products/detail/13CK001_608_red__13CK001_Calvin_Klein_Mens_Liquid_Cotton_Solid_Polo_Shirts4.1.jpg	
